claim_id,claim_text,status,source_files,source_scripts,target_figure_or_table,risk_level,main_or_appendix
C001,Benchmark contains 21366 experiments (updated 2026-04-16 from on-disk count),supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/;results/tier4_benchmark/,run_full_benchmark.py,narrative,high,main
C002,Benchmark spans 6 function families,supported,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:grid,high,main
C003,Benchmark spans 7 dimensions (1/2/5/10/20/50/100),supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:grid,medium,main
C004,Benchmark spans 6 sample sizes (256--8K),supported,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:grid,medium,main
C005,Benchmark spans 5 noise levels (0 to 0.5),supported,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:grid,medium,main
C006,11 training methods constructed from 3 label paradigms x 4 balancing strategies,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:methods,high,main
C007,Warmup(Fuzzy) ranks #1 overall with mean rank 1.8/11,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:ranking,high,main
C008,Pathwise methods rank 7--10 on discontinuous payoffs,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:ranking,high,main
C009,Fuzzy methods incur <2% value penalty on discontinuous payoffs,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:ranking,high,main
C010,Pathwise methods degrade value by 117--562% on discontinuous payoffs,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:ranking,high,main
C011,Fixed lambda=1.0 outperforms adaptive balancing in controlled setting,supported,results/unified_comparison/multi_seed/;results/tier2_benchmark/,run_full_benchmark.py,narrative,high,main
C012,Noise crossover threshold mean 0.085 range [0.03--0.21],supported,results/gradient_noise_sweep/,scripts/noise_sweep launcher,tab:noise,medium,main
C013,Tier 1 has 1081 experiments,supported,results/tier1_benchmark/,run_full_benchmark.py --tier 1,tab:matrix,low,main
C014,Tier 2 has 6376 experiments,supported,results/tier2_benchmark/,run_full_benchmark.py --tier 2,tab:matrix,low,main
C015,Tier 3 has 9566 experiments,partial,results/tier3_benchmark/,run_full_benchmark.py --tier 3,tab:matrix,high,main
C016,Tier 4 has 721 experiments,partial,results/tier4_benchmark/,run_full_benchmark.py --tier 4,tab:matrix,high,main
C017,Core benchmark total of 17744 experiments across Tiers 1--4,partial,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/;results/tier4_benchmark/,run_full_benchmark.py,tab:matrix,high,main
C018,Unified comparison uses 5 discontinuous-payoff datasets,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:matrix,medium,main
C019,SPY options study has 680 experiments (temporal+CV),supported,results/spy_options_temporal/;results/spy_options_purged_cv/,experiments/real_data_spy/run_spy_temporal.py;experiments/real_data_spy/run_spy_purged_cv.py,tab:matrix,high,main
C020,Ablations and diagnostics total 1976 experiments,supported,results/compute_matched_controls/;results/lambda_j_ablation/;results/warmup_experiments/;results/revision/,scripts/run_revision_experiments.py,tab:matrix,low,main
C021,Warmup(Fuzzy) achieves 1.04x gradient on barrier_bs (NOT 50.2x; regenerated 2026-04-16 from current JSONs),supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:unified_summary,high,main
C022,Warmup(LRM) achieves 6.1x gradient improvement on barrier_bs with +2.2% penalty,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,narrative,medium,main
C023,Pathwise DML fixed lambda degrades value by +256% on barrier_bs,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,fig:tradeoff,high,main
C024,Kendall tau between value-MSE and gradient-MSE rankings is 0.67,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,narrative,medium,main
C025,Only Vanilla and Warmup(Fuzzy) are non-dominated on value-vs-gradient Pareto frontier,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,narrative,medium,main
C026,Fuzzy smoothing is robust to epsilon over 10x range (0.1--1.0),supported,results/fuzzy_sensitivity.json,scripts/run_fuzzy_sensitivity.py,tab:fuzzy_sens,low,main
C027,Warmup value penalty ranges -1.5% to +2.6% across all labels,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,narrative,medium,main
C028,DML fixed lambda value penalty ranges +0.1% to +256%,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,narrative,medium,main
C029,Compute-matched vanilla with 500-epoch budget achieves 0% gradient improvement,supported,results/compute_matched_controls/,scripts/run_revision_experiments.py,tab:controls,medium,main
C030,DML wins in 72% (125/174) of smooth-function configs at noise=0 lambda=1.0,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,high,main
C031,Bachelier win rate 36/36 (100%) with +88.4% mean advantage,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,high,main
C032,Black-scholes win rate 6/6 (100%) with +89.3% mean advantage,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,high,main
C033,Poly_trig win rate 42/42 (100%) with +78.8% mean advantage,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,high,main
C034,Trig win rate 41/42 (97.6%) with +38.2% mean advantage,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,medium,main
