number_id,number_value,unit,context,source_json_path,producing_script,verified
N001,21555,count,total experiments claimed in abstract,results/manifest_aggregate,run_full_benchmark.py + others,pending
N002,1081,count,Tier 1 experiments,results/tier1_benchmark/,run_full_benchmark.py --tier 1,manual
N003,6376,count,Tier 2 experiments,results/tier2_benchmark/,run_full_benchmark.py --tier 2,manual
N004,9566,count,Tier 3 target experiments,results/tier3_benchmark/,run_full_benchmark.py --tier 3,manual
N005,550,count,Unified comparison Study 1 experiments,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py --mode multi_seed,manual
N006,11,count,number of methods in unified comparison,papers/latex/neurips_2026_dml_bench.tex tab:methods,n/a (paper claim),manual
N007,5,count,number of datasets in unified comparison,results/unified_comparison/multi_seed/,n/a,manual
N008,10,count,number of seeds in unified comparison,results/unified_comparison/multi_seed/,n/a,manual
N009,500,count,SPY purged CV experiments,results/spy_options_purged_cv/,experiments/real_data_spy/run_spy_purged_cv.py,manual
N010,100,count,SPY temporal experiments,results/spy_options_temporal/,experiments/real_data_spy/run_spy_temporal.py,manual
N011,176,count,compute-matched controls,results/compute_matched_controls/,scripts/run_revision_experiments.py,manual
N012,51,count,lambda_j ablation runs,results/lambda_j_ablation/,scripts/run_revision_experiments.py,manual
N013,4,count,SPY input dimension d=4 (moneyness/T/r/iv),results/spy_options_temporal/*.json metadata,run_spy_temporal.py,manual
N014,72,percent,DML win rate (any method) on smooth functions,?,scripts/compute_win_rates.py,pending
N015,125,count,winning configs out of 174 in win-rate computation,?,scripts/compute_win_rates.py,pending
N016,174,count,total configs in win-rate computation,?,scripts/compute_win_rates.py,pending
N017,97.6,percent,trig win rate at appropriate dim,?,scripts/compute_win_rates.py,pending
N018,100,percent,poly_trig win rate at d>=10,?,scripts/compute_win_rates.py,pending
N019,0,percent,step win rate at low dim,?,scripts/compute_win_rates.py,pending
N020,4,layers,MLP architecture (4 layers x 256 hidden),dml_benchmark/models.py,n/a (architecture),manual
N021,256,units,hidden units per layer (most experiments),dml_benchmark/models.py,n/a (architecture),manual
N022,512,units,hidden units per layer (rMD17 only),dml_benchmark/models.py,n/a (architecture),manual
N023,500,epochs,default epoch budget,dml_benchmark/trainer.py,n/a (training config),manual
N024,1000,epochs,extended epoch budget (Tier 3 specific),dml_benchmark/trainer.py + tier 3 launcher,n/a,manual
N025,50,patience,early stopping patience,dml_benchmark/trainer.py,n/a (training config),manual
N026,20,patience,ReduceLROnPlateau patience,dml_benchmark/trainer.py,n/a (training config),manual
N027,0.5,factor,ReduceLROnPlateau factor,dml_benchmark/trainer.py,n/a,manual
N028,1e-6,float,ReduceLROnPlateau min_lr,dml_benchmark/trainer.py,n/a,manual
N029,0.005,float,Adam learning rate,dml_benchmark/trainer.py,n/a,manual
N030,9.19e-06,grad_mse,bachelier vanilla autodiff Tier 2 mean grad MSE,results/tier2_benchmark/bachelier_*_vanilla.json,run_full_benchmark.py --tier 2,manual
N031,4.24e-07,grad_mse,bachelier dml_fixed Tier 2 mean grad MSE,results/tier2_benchmark/bachelier_*_dml_fixed.json,run_full_benchmark.py --tier 2,manual
N032,22,ratio,bachelier DML fixed vs vanilla gradient improvement (Tier 2),computed from above,n/a,manual
N033,3.51e-05,grad_mse,black_scholes vanilla autodiff Tier 2 mean grad MSE,results/tier2_benchmark/black_scholes_*_vanilla.json,run_full_benchmark.py --tier 2,manual
N034,4.24e-07,grad_mse,black_scholes dml_gradnorm Tier 2 mean grad MSE,results/tier2_benchmark/black_scholes_*_dml_gradnorm.json,run_full_benchmark.py --tier 2,manual
N035,83,ratio,black_scholes DML gradnorm vs vanilla gradient improvement (Tier 2),computed from above,n/a,manual
N036,1.81e-02,grad_mse,SPY temporal vanilla mean grad MSE,results/spy_options_temporal/,run_spy_temporal.py,manual
N037,6.82e-05,grad_mse,SPY temporal dml_fixed mean grad MSE,results/spy_options_temporal/,run_spy_temporal.py,manual
N038,266,ratio,SPY DML fixed vs vanilla gradient improvement,computed from above,n/a,manual
N039,21,percent,SPY value MSE improvement (DML fixed vs vanilla temporal),results/spy_options_temporal/,run_spy_temporal.py,manual
N040,0.085,float,mean noise level σ* across functions,papers/latex/neurips_2026_dml_bench.tex,n/a (paper claim),manual
N041,0.03,float,minimum σ* range,papers/latex/neurips_2026_dml_bench.tex,n/a,manual
N042,0.21,float,maximum σ* range,papers/latex/neurips_2026_dml_bench.tex,n/a,manual
N043,4.29,grad_mse,step vanilla autodiff Tier 2 mean grad MSE,results/tier2_benchmark/step_*_vanilla.json,run_full_benchmark.py --tier 2,manual
N044,9.58e-02,grad_mse,step dml_fixed Tier 2 mean grad MSE,results/tier2_benchmark/step_*_dml_fixed.json,run_full_benchmark.py --tier 2,manual
N045,45,ratio,step DML fixed vs vanilla gradient improvement (Tier 2),computed from above,manual,manual
N046,3.55e+05,grad_mse,heston vanilla autodiff Tier 2 mean grad MSE,results/tier2_benchmark/heston_*_vanilla.json,run_full_benchmark.py --tier 2,manual
N047,1.0,ratio,heston DML vs vanilla (DML hurts here),computed from tier2,n/a,manual
N048,8658,ratio,bachelier old/new vanilla grad MSE inflation (zeros bug),pre/post comparison,scripts/create_export_figures.py:fig_autodiff_impact,manual
N049,12314,ratio,black_scholes old/new vanilla grad MSE inflation,pre/post comparison,scripts/create_export_figures.py,manual
N050,5,folds,SPY purged CV folds,results/spy_options_purged_cv/,run_spy_purged_cv.py,manual
N051,10000,n_train,SPY n_train value 1,results/spy_options_*/,run_spy_*.py,manual
N052,50000,n_train,SPY n_train value 2,results/spy_options_*/,run_spy_*.py,manual
N053,7,count,number of dimensions tested,results/tier1+2_benchmark/,n/a,manual
N054,5,count,number of noise levels (0, 0.05, 0.1, 0.2, 0.5),results/tier2_benchmark/,n/a,manual
N055,6,count,number of synthetic function families,results/tier1+2_benchmark/,n/a,manual
